id,exam,subject,chapter,question,option_a,option_b,option_c,option_d,answer,explanation,difficulty
1,JEE Main,Physics,Mechanics,"A particle starts from rest with acceleration 2 m/s². What is its velocity after 5 s?","5 m/s","10 m/s","15 m/s","20 m/s",B,"Using v = u + at, v = 0 + 2×5 = 10 m/s.",Easy
2,JEE Main,Physics,Mechanics,"A body is thrown vertically upward with speed 20 m/s. Take g = 10 m/s². What is its maximum height?","10 m","20 m","30 m","40 m",B,"Using v² = u² - 2gh, h = 20 m.",Easy
3,JEE Main,Physics,Mechanics,"A 2 kg body moves with velocity 5 m/s. What is its kinetic energy?","10 J","20 J","25 J","50 J",C,"K = 1/2 mv² = 25 J.",Easy
4,JEE Main,Physics,Mechanics,"A force of 10 N acts on a 2 kg body. What is its acceleration?","2 m/s²","5 m/s²","10 m/s²","20 m/s²",B,"From F = ma, a = 5 m/s².",Easy
5,JEE Main,Physics,Work Energy Power,"A force of 10 N acts through a displacement of 2 m in its direction. Work done is:","5 J","10 J","20 J","40 J",C,"W = Fs cosθ = 20 J.",Easy
6,JEE Main,Physics,Work Energy Power,"A body of mass 2 kg has speed 4 m/s. Its kinetic energy is:","4 J","8 J","16 J","32 J",C,"K = 1/2 mv² = 16 J.",Easy
7,JEE Main,Physics,Electrostatics,"Two equal positive charges are placed symmetrically about a point. The electric field at the midpoint is:","Maximum","Zero","Infinite","Depends only on charge",B,"The two electric fields have equal magnitude and opposite directions.",Easy
8,JEE Main,Physics,Electrostatics,"The SI unit of electric charge is:","Volt","Ampere","Coulomb","Ohm",C,"The SI unit of charge is coulomb.",Easy
9,JEE Main,Physics,Current Electricity,"Ohm's law is represented by:","V = IR","P = VI","Q = It","F = qE",A,"Ohm's law states V = IR.",Easy
10,JEE Main,Physics,Current Electricity,"A resistor of 5 Ω is connected to a 10 V battery. Current through it is:","0.5 A","2 A","5 A","50 A",B,"I = V/R = 2 A.",Easy
11,JEE Main,Chemistry,Atomic Structure,"Which quantum number determines the shape of an orbital?","Principal quantum number","Azimuthal quantum number","Magnetic quantum number","Spin quantum number",B,"The azimuthal quantum number determines orbital shape.",Easy
12,JEE Main,Chemistry,Atomic Structure,"The maximum number of electrons in the second shell is:","2","4","8","18",C,"Maximum electrons = 2n² = 8.",Easy
13,JEE Main,Chemistry,Chemical Bonding,"Which molecule has linear geometry?","H2O","NH3","CO2","CH4",C,"CO2 has linear geometry.",Easy
14,JEE Main,Chemistry,Chemical Bonding,"The bond in NaCl is mainly:","Covalent","Ionic","Metallic","Hydrogen",B,"NaCl forms an ionic bond.",Easy
15,JEE Main,Chemistry,Organic Chemistry,"Which functional group is present in ethanol?","Aldehyde","Ketone","Alcohol","Carboxylic acid",C,"Ethanol contains the hydroxyl (-OH) group.",Easy
16,JEE Advanced,Chemistry,Organic Chemistry,"The molecular formula of methane is:","CH2","CH3","CH4","C2H6",C,"Methane contains one carbon and four hydrogen atoms.",Easy
17,JEE Advanced,Chemistry,Thermodynamics,"For an exothermic reaction, ΔH is generally:","Positive","Negative","Zero","Infinite",B,"Heat is released, so enthalpy change is negative.",Easy
18,JEE Advanced,Chemistry,Thermodynamics,"The SI unit of energy is:","Calorie","Joule","Watt","Pascal",B,"The SI unit of energy is joule.",Easy
19,JEE Advanced,Chemistry,Equilibrium,"At equilibrium, the concentrations of reactants and products are:","Always equal","Constant with time","Always zero","Continuously increasing",B,"At equilibrium, macroscopic concentrations remain constant with time.",Easy
20,JEE Advanced,Chemistry,Redox,"Oxidation is generally defined as:","Gain of electrons","Loss of electrons","Gain of protons","Loss of neutrons",B,"Oxidation involves loss of electrons.",Easy
21,JEE Advanced,Mathematics,Algebra,"If x + 1 = 5, what is x?","2","3","4","5",C,"Subtracting 1 from both sides gives x = 4.",Easy
22,JEE Advanced,Mathematics,Algebra,"The roots of x² - 5x + 6 = 0 are:","1 and 6","2 and 3","-2 and -3","3 and 4",B,"x² - 5x + 6 = (x-2)(x-3).",Easy
23,JEE Advanced,Mathematics,Calculus,"What is the derivative of x² with respect to x?","x","2x","x²","2",B,"Using the power rule, d(x²)/dx = 2x.",Easy
24,JEE Advanced,Mathematics,Calculus,"The derivative of sin x is:","cos x","-cos x","sin x","-sin x",A,"d(sin x)/dx = cos x.",Easy
25,JEE Advanced,Mathematics,Coordinate Geometry,"What is the slope of y = 3x + 2?","2","3","5","1",B,"Comparing with y = mx + c, slope m = 3.",Easy
26,JEE Advanced,Mathematics,Coordinate Geometry,"The distance between (0,0) and (3,4) is:","3","4","5","7",C,"Distance = √(3²+4²) = 5.",Easy
27,JEE Advanced,Mathematics,Probability,"A fair coin is tossed once. Probability of getting heads is:","0","1/4","1/2","1",C,"There are two equally likely outcomes and one favorable outcome.",Easy
28,JEE Advanced,Mathematics,Probability,"A fair die is thrown once. Probability of getting 6 is:","1/2","1/3","1/6","1/12",C,"There is one favorable outcome among six equally likely outcomes.",Easy
29,JEE Advanced,Mathematics,Sequences and Series,"The common difference of the AP 2, 5, 8, 11,... is:","2","3","5","8",B,"Each term increases by 3.",Easy
30,JEE Advanced,Mathematics,Sequences and Series,"The first term of the GP 2, 6, 18,... is:","1","2","3","6",B,"The first term is 2.",Easy
31,JEE Main,Mathematics,Algebra,"If 2x + 3 = 11, the value of x is:","2","3","4","5",C,"2x = 8, therefore x = 4.",Easy
32,JEE Main,Mathematics,Calculus,"The derivative of x³ is:","x²","2x²","3x²","3x³",C,"Using the power rule, d(x³)/dx = 3x².",Easy
33,JEE Main,Mathematics,Coordinate Geometry,"The coordinates of the midpoint of (2,4) and (6,8) are:","(3,5)","(4,6)","(5,7)","(6,4)",B,"Midpoint = ((2+6)/2,(4+8)/2) = (4,6).",Easy
34,JEE Main,Mathematics,Probability,"A die is thrown once. What is the probability of getting an even number?","1/6","1/3","1/2","2/3",C,"Even outcomes are 2,4,6, giving 3 favorable outcomes out of 6.",Easy
35,JEE Main,Mathematics,Sequences and Series,"The next term of the sequence 2, 4, 8, 16,... is:","20","24","32","36",C,"Each term is multiplied by 2, so the next term is 32.",Easy
36,JEE Advanced,Physics,Rotational Motion,"A uniform disc of mass M and radius R rotates about an axis through its center perpendicular to its plane. Its moment of inertia is:","MR²","(1/2)MR²","(1/3)MR²","2MR²",B,"The moment of inertia of a uniform disc about its central perpendicular axis is (1/2)MR².",Easy
37,JEE Advanced,Physics,Gravitation,"The escape velocity from the surface of a planet is proportional to:","√(M/R)","M/R","√(R/M)","MR",A,"Escape velocity is ve = √(2GM/R), so it is proportional to √(M/R).",Easy
38,JEE Advanced,Physics,Simple Harmonic Motion,"In simple harmonic motion, acceleration is:","Constant","Proportional to displacement and opposite in direction","Proportional to velocity","Zero",B,"For SHM, a = -ω²x.",Easy
39,JEE Advanced,Physics,Electromagnetic Induction,"According to Faraday's law, induced emf is proportional to the:","Electric charge","Rate of change of magnetic flux","Magnetic field only","Resistance only",B,"Faraday's law gives emf = -dΦ/dt.",Easy
40,JEE Advanced,Physics,Modern Physics,"The energy of a photon is given by:","mc²","hν","mv²","qV",B,"Photon energy is E = hν.",Easy
41,JEE Advanced,Mathematics,Complex Numbers,"If z = 3 + 4i, then |z| is:","3","4","5","7",C,"|z| = √(3² + 4²) = 5.",Easy
42,JEE Advanced,Mathematics,Matrices,"The determinant of the matrix [[1,2],[3,4]] is:","-2","2","10","-10",A,"Determinant = 1×4 - 2×3 = -2.",Easy
43,JEE Advanced,Mathematics,Trigonometry,"The value of sin²θ + cos²θ is:","0","1/2","1","2",C,"The fundamental trigonometric identity is sin²θ + cos²θ = 1.",Easy
44,JEE Advanced,Mathematics,Vectors,"The dot product of two perpendicular vectors is:","-1","0","1","Depends on magnitude",B,"A·B = |A||B|cos90° = 0.",Easy
45,JEE Advanced,Mathematics,Differential Equations,"The order of the differential equation d²y/dx² + y = 0 is:","0","1","2","3",C,"The highest derivative present is the second derivative, so the order is 2.",Easy
exam,subject,chapter,difficulty,question,option_a,option_b,option_c,option_d,answer,explanation
JEE Main,Physics,Kinematics,Medium,"A particle starts from rest and moves with constant acceleration 4 m/s². What is its velocity after 5 s?","10 m/s","15 m/s","20 m/s","25 m/s",C,"Using v = u + at = 0 + 4×5 = 20 m/s."
JEE Advanced,Physics,Kinematics,Hard,"A particle has velocity v = 3t² - 2t m/s. What is its acceleration at t = 2 s?","8 m/s²","10 m/s²","12 m/s²","14 m/s²",C,"Acceleration is dv/dt = 6t - 2. At t = 2 s, a = 10 m/s²." 
JEE Main,Physics,Laws of Motion,Medium,"A 5 kg block is acted upon by a net horizontal force of 20 N. Its acceleration is","2 m/s²","4 m/s²","5 m/s²","10 m/s²",B,"From F = ma, a = 20/5 = 4 m/s²."
JEE Advanced,Physics,Laws of Motion,Hard,"A block rests on a rough horizontal surface with coefficient of friction 0.4. If g = 10 m/s², the minimum horizontal force required to start moving a 5 kg block is","10 N","15 N","20 N","25 N",C,"Maximum static friction is μmg = 0.4×5×10 = 20 N."
JEE Main,Physics,Work Energy Power,Medium,"A body of mass 2 kg moving at 5 m/s has kinetic energy","10 J","20 J","25 J","50 J",C,"K = 1/2 mv² = 1/2×2×25 = 25 J."
JEE Advanced,Physics,Work Energy Power,Hard,"A force F = 3x² N acts on a particle along x. The work done in moving it from x = 0 to x = 2 m is","4 J","6 J","8 J","12 J",D,"W = integral(3x² dx) from 0 to 2 = x³ evaluated from 0 to 2 = 8 J." 
JEE Main,Physics,Rotational Motion,Medium,"The moment of inertia of a point mass m at distance r from an axis is","mr","mr²","m/r","m²r",B,"For a point mass I = mr²."
JEE Advanced,Physics,Rotational Motion,Hard,"A uniform disc rolls without slipping down an incline. The fraction of its total kinetic energy that is rotational is","1/2","1/3","1/4","2/3",B,"For a disc I = 1/2 MR². Translational and rotational energies give Krot/Ktotal = 1/3."
JEE Main,Physics,Gravitation,Medium,"If the radius of a planet is doubled while its mass remains unchanged, surface gravitational acceleration becomes","g/4","g/2","2g","4g",A,"g = GM/R², so doubling R makes g one-fourth."
JEE Advanced,Physics,Gravitation,Hard,"Two identical masses are separated by distance R. If the separation is increased to 2R, their mutual gravitational potential energy becomes","U/4","U/2","2U","4U",B,"Gravitational potential energy is proportional to -1/r, so its magnitude becomes half."
JEE Main,Physics,Properties of Matter,Medium,"The SI unit of surface tension is","N","N/m","J/m","Pa",B,"Surface tension has SI unit N/m."
JEE Advanced,Physics,Thermodynamics,Hard,"One mole of an ideal gas expands isothermally at temperature T from volume V to 2V. The work done by the gas is","RT","2RT","RT ln 2","RT/2",C,"For isothermal expansion W = nRT ln(V2/V1) = RT ln 2."
JEE Main,Physics,SHM,Medium,"In simple harmonic motion, acceleration is maximum when displacement is","zero","minimum","maximum","half the amplitude",C,"Magnitude of acceleration is ω²|x|, so it is maximum at maximum displacement."
JEE Advanced,Physics,Waves,Hard,"Two waves of equal amplitude and same frequency differ in phase by π. Their resultant amplitude is","0","A","2A","A/2",A,"For phase difference π, the waves cancel completely."
JEE Main,Physics,Electrostatics,Medium,"The electric field due to a point charge varies with distance r as","r","1/r","1/r²","1/r³",C,"Coulomb's law gives E = kq/r²."
JEE Advanced,Physics,Electrostatics,Hard,"Two equal positive charges are placed symmetrically about the origin. The electric field at the origin is","maximum","zero","infinite","dependent only on one charge",B,"The fields at the origin have equal magnitude and opposite directions."
JEE Main,Physics,Current Electricity,Medium,"A resistor of resistance 5 ohm carries a current of 2 A. The potential difference across it is","2.5 V","5 V","10 V","20 V",C,"Ohm's law gives V = IR = 2×5 = 10 V."
JEE Advanced,Physics,Current Electricity,Hard,"Three identical resistors R are connected in parallel. Their equivalent resistance is","3R","R","R/2","R/3",D,"For three identical parallel resistors, Req = R/3."
JEE Main,Physics,Magnetism,Medium,"A charged particle moving parallel to a uniform magnetic field experiences magnetic force","maximum","zero","qvB","qB/v",B,"F = qvB sinθ and θ = 0, so F = 0."
JEE Advanced,Physics,Magnetism,Hard,"A charged particle enters a uniform magnetic field perpendicular to its velocity. Its path is","straight line","parabola","circle","ellipse",C,"The magnetic force remains perpendicular to velocity and provides centripetal force."
JEE Main,Physics,EMI,Medium,"According to Faraday's law, induced emf is proportional to the","charge","magnetic flux","rate of change of magnetic flux","resistance",C,"Magnitude of induced emf is |dΦ/dt|."
JEE Advanced,Physics,Ray Optics,Hard,"An object is placed at 2f from a convex lens of focal length f. The image is formed","at f","between f and 2f","at 2f","at infinity",C,"For an object at 2f, the image is real, inverted and formed at 2f."
JEE Main,Physics,Modern Physics,Medium,"The energy of a photon is given by","hc/λ","hλ/c","λ/hc","c/hλ",A,"Photon energy E = hc/λ."
JEE Advanced,Physics,Modern Physics,Hard,"If the wavelength of a photon is doubled, its momentum becomes","double","half","four times","unchanged",B,"Photon momentum p = h/λ, so doubling wavelength halves momentum."

JEE Main,Chemistry,Mole Concept,Medium,"How many moles are present in 18 g of water?","0.5","1","2","18",B,"Molar mass of water is 18 g/mol, so 18 g corresponds to 1 mol."
JEE Advanced,Chemistry,Mole Concept,Hard,"A sample contains 3.01×10^23 molecules of a substance. The number of moles is","0.25","0.5","1","2",B,"Avogadro number is approximately 6.02×10^23 particles per mole, so the sample contains 0.5 mol."
JEE Main,Chemistry,Atomic Structure,Medium,"The maximum number of electrons in a shell with principal quantum number n = 3 is","6","8","18","32",C,"Maximum electrons = 2n² = 2×9 = 18."
JEE Advanced,Chemistry,Atomic Structure,Hard,"Which quantum number determines the orientation of an orbital in space?","Principal quantum number","Azimuthal quantum number","Magnetic quantum number","Spin quantum number",C,"The magnetic quantum number ml determines orbital orientation."
JEE Main,Chemistry,Periodic Table,Medium,"Which element has the highest electronegativity?","Oxygen","Fluorine","Chlorine","Nitrogen",B,"Fluorine has the highest electronegativity."
JEE Advanced,Chemistry,Chemical Bonding,Hard,"The hybridization of carbon atoms in ethyne is","sp","sp²","sp³","dsp²",A,"Each carbon in ethyne forms two sigma bonds and has sp hybridization."
JEE Main,Chemistry,Thermodynamics,Medium,"For an exothermic reaction, the enthalpy change is","positive","negative","zero","always infinite",B,"Heat is released in an exothermic process, so ΔH is negative."
JEE Advanced,Chemistry,Thermodynamics,Hard,"For an ideal gas undergoing a reversible isothermal expansion, the change in internal energy is","positive","negative","zero","dependent on pressure",C,"Internal energy of an ideal gas depends only on temperature, which remains constant."
JEE Main,Chemistry,Chemical Equilibrium,Medium,"At equilibrium, the forward and reverse reaction rates are","both zero","equal","always unequal","infinite",B,"Dynamic equilibrium occurs when forward and reverse rates become equal."
JEE Advanced,Chemistry,Ionic Equilibrium,Hard,"If pH of a solution is 3, its hydrogen ion concentration is","10^-1 M","10^-2 M","10^-3 M","10^-7 M",C,"pH = -log[H+], therefore [H+] = 10^-3 M."
JEE Main,Chemistry,Electrochemistry,Medium,"The SI unit of conductance is","ohm","siemens","volt","ampere",B,"Conductance is measured in siemens."
JEE Advanced,Chemistry,Electrochemistry,Hard,"During electrolysis, the amount of substance deposited at an electrode is proportional to the","square of current","charge passed","inverse of charge","voltage only",B,"Faraday's first law states that deposited mass is proportional to charge passed."
JEE Main,Chemistry,Organic Chemistry,Medium,"The functional group present in ethanol is","Aldehyde","Ketone","Alcohol","Carboxylic acid",C,"Ethanol contains the -OH alcohol functional group."
JEE Advanced,Chemistry,Hydrocarbons,Hard,"The major product of addition of HBr to propene in the absence of peroxide is","1-bromopropane","2-bromopropane","1,1-dibromopropane","propane",B,"Under normal ionic addition, Markovnikov addition gives 2-bromopropane."
JEE Main,Chemistry,Amines,Medium,"The functional group of primary amines is","-NH2","-NO2","-CN","-OH",A,"Primary amines contain the -NH2 group."
JEE Advanced,Chemistry,Coordination Chemistry,Hard,"The coordination number of the central metal ion in [Co(NH3)6]3+ is","3","4","6","9",C,"Six NH3 ligands are directly coordinated to cobalt."
